IDX,PNR,KEY,CNT,SCORE,FK,UID
0,DRGS80,ZZ20240403BLRCCU2504,3,8400,0,480
1,YEZQ47,ZZ20240403BLRCCU2504,4,8450,0,480
2,JDDM40,ZZ20240403BLRCCU2504,2,6100,0,480
3,AVFF16,ZZ20240403BLRCCU2504,1,3550,0,480
4,DBLE79,ZZ20240403BLRCCU2504,2,3350,0,480
5,HBRA44,ZZ20240403BLRCCU2504,4,12450,0,480
6,EOWG16,ZZ20240403BLRCCU2504,2,5350,0,480
7,AVDY52,ZZ20240403BLRCCU2504,4,6200,0,480
8,XKCU70,ZZ20240403BLRCCU2504,1,3050,0,480
9,TOGO39,ZZ20240403BLRCCU2504,4,7950,0,480
10,POTO89,ZZ20240403BLRCCU2504,2,1800,0,480
11,XJFX88,ZZ20240403BLRCCU2504,1,3800,0,480
12,QUEI19,ZZ20240403BLRCCU2504,1,1850,0,481
13,JUZT15,ZZ20240403BLRCCU2504,3,6450,0,481
14,TLLK58,ZZ20240403BLRCCU2504,2,4400,0,481
15,KQWI29,ZZ20240403BLRCCU2504,3,5950,0,481
16,BDAS92,ZZ20240403BLRCCU2504,2,3150,0,481
17,OVDO22,ZZ20240403BLRCCU2504,1,1850,0,481
18,QBAH49,ZZ20240403BLRCCU2504,2,5100,0,481
19,GXMB60,ZZ20240403BLRCCU2504,2,1900,0,481
20,TEGC26,ZZ20240403BLRCCU2504,1,1350,0,481
21,PPCF80,ZZ20240403BLRCCU2504,4,8750,0,481
22,KCKH36,ZZ20240403BLRCCU2504,3,7200,0,481
23,YFWB74,ZZ20240403BLRCCU2504,1,1350,0,481
24,IDKP89,ZZ20240403BLRCCU2504,2,4150,0,481
25,IVMW62,ZZ20240403BLRCCU2504,4,2500,0,481
26,QQHE41,ZZ20240403BLRCCU2504,1,1350,0,481
27,TOTV90,ZZ20240403BLRCCU2504,3,3950,0,481
28,KSMX61,ZZ20240403BLRCCU2504,3,4700,0,481
29,AMQB16,ZZ20240403BLRCCU2504,1,3350,0,481
30,YNIO33,ZZ20240403BLRCCU2504,3,6700,0,481
31,HEAC23,ZZ20240403BLRCCU2504,1,3350,0,481
32,GSNF55,ZZ20240403BLRCCU2504,2,3400,0,481
33,IFAV65,ZZ20240403BLRCCU2504,2,1400,0,481
34,GGAN78,ZZ20240403BLRCCU2504,2,2600,0,481
35,XSWO67,ZZ20240403BLRCCU2504,3,5950,0,481
36,IMFV13,ZZ20240403BLRCCU2504,3,5700,0,481
37,QGEY16,ZZ20240403BLRCCU2504,1,1850,0,481
38,RIPG36,ZZ20240403BLRCCU2504,2,3650,0,481
39,ZGKM38,ZZ20240403BLRCCU2504,1,3800,0,481
40,ULUB62,ZZ20240403BLRCCU2504,7,15450,0,482
41,VNQB23,ZZ20240403BLRCCU2504,6,6100,0,482
42,HEZE51,ZZ20240403BLRCCU2504,2,4950,0,482
43,YIFV78,ZZ20240403BLRCCU2504,6,12300,0,482
44,PLBA60,ZZ20240403BLRCCU2504,5,8850,0,482
45,EZNC46,ZZ20240403BLRCCU2504,6,6600,0,482
46,KQGN35,ZZ20240403BLRCCU2504,1,3900,0,482
47,MOSR40,ZZ20240403BLRCCU2504,3,6250,0,482
48,DGYQ98,ZZ20240403BLRCCU2504,4,7750,0,482
49,KGRP58,ZZ20240403BLRCCU2504,8,10500,0,482
50,ICGG16,ZZ20240403BLRCCU2504,7,10450,0,482
51,BCNL96,ZZ20240403BLRCCU2504,4,6750,0,482
52,EKEH36,ZZ20240403BLRCCU2504,4,4000,0,482
53,RXZR18,ZZ20240403BLRCCU2504,7,14150,0,482
54,SSSR33,ZZ20240403BLRCCU2504,6,7650,0,482
55,UPIA63,ZZ20240403BLRCCU2504,9,15200,0,482
56,IACJ88,ZZ20240403BLRCCU2504,1,2900,0,482
57,ALFX16,ZZ20240403BLRCCU2504,1,1150,0,482
58,GINH77,ZZ20240403BLRCCU2504,1,3050,0,483
59,ZVRJ34,ZZ20240403BLRCCU2504,7,13800,0,483
60,XLXS10,ZZ20240403BLRCCU2504,9,17200,0,483
61,UZLE88,ZZ20240403BLRCCU2504,9,8700,0,483
62,DMDN53,ZZ20240403BLRCCU2504,5,6500,0,483
63,MCRL39,ZZ20240403BLRCCU2504,5,6750,0,483
64,CILY58,ZZ20240403BLRCCU2504,3,5150,0,483
65,ZZSK50,ZZ20240403BLRCCU2504,9,17650,0,483
66,TTQZ53,ZZ20240403BLRCCU2504,4,10700,0,483
67,LWKR14,ZZ20240403BLRCCU2504,8,10400,0,483
68,IBHN38,ZZ20240403BLRCCU2504,6,8500,0,483
69,KHJW84,ZZ20240403BLRCCU2504,5,6500,0,483
70,ZAJN39,ZZ20240403BLRCCU2504,8,16150,0,483
71,HLGI89,ZZ20240403BLRCCU2504,2,3850,0,483
72,CHYQ86,ZZ20240403BLRCCU2504,6,8800,0,483
73,NAUK86,ZZ20240403BLRCCU2504,3,4800,0,483
74,SVPX92,ZZ20240403BLRCCU2504,3,7650,0,483
75,RTTS90,ZZ20240403BLRCCU2504,4,8950,0,483
76,RIIS28,ZZ20240403BLRCCU2504,5,7000,0,483
77,WJIM84,ZZ20240403BLRCCU2504,6,9500,0,483
78,GYKM90,ZZ20240403BLRCCU2504,4,6700,0,483
79,JGYU67,ZZ20240403BLRCCU2504,4,8350,0,483
80,OQHS47,ZZ20240403BLRCCU2504,1,3800,0,483
81,JMZZ69,ZZ20240403BLRCCU2504,1,3550,0,483
82,DRGS80,ZZ20240423CCUBOM3274,3,1000,0,2520
83,DRGS80,ZZ20240502BOMHYD2933,3,1000,0,1888
84,DRGS80,ZZ20240507HYDBLR2887,3,1000,0,1620
85,YEZQ47,ZZ20240417CCUBLR3294,4,1000,0,1032
86,JDDM40,ZZ20240406CCUHYD3723,2,1500,0,1484
87,JDDM40,ZZ20240507HYDBLR2887,2,1000,0,1620
88,AVFF16,ZZ20240406CCUHYD3723,1,1000,1,1484
89,AVFF16,ZZ20240421HYDIDR4122,1,1500,0,5340
90,AVFF16,ZZ20240423IDRHYD2795,1,1000,1,6244
91,DBLE79,ZZ20240417CCUBLR3294,2,1000,0,1032
92,AVDY52,ZZ20240406CCUHYD3723,4,1000,0,1484
93,AVDY52,ZZ20240507HYDBLR2887,4,1000,0,1620
94,XKCU70,ZZ20240406CCUHYD3723,1,1000,1,1484
95,XKCU70,ZZ20240409HYDCJB2880,1,1000,1,6128
96,XKCU70,ZZ20240505CJBHYD2679,1,1000,1,7172
97,POTO89,ZZ20240417CCUBLR3294,2,1500,0,1032
98,XJFX88,ZZ20240417CCUBLR3294,1,1000,1,1032
99,QUEI19,ZZ20240417CCUBLR3294,1,1300,0,1033
100,JUZT15,ZZ20240423CCUBOM3274,3,800,0,2521
101,JUZT15,ZZ20240424BOMBLR3556,3,800,0,2057
102,BDAS92,ZZ20240423CCUBOM3274,2,800,0,2521
103,BDAS92,ZZ20240502BOMHYD2933,2,800,0,1889
104,BDAS92,ZZ20240507HYDBLR2887,2,800,0,1621
105,QBAH49,ZZ20240417CCUBLR3294,2,1300,0,1033
106,GXMB60,ZZ20240406CCUHYD3723,2,800,0,1485
107,GXMB60,ZZ20240416HYDDEL2294,2,1300,0,4409
108,GXMB60,ZZ20240419DELBLR3152,2,800,0,1245
109,KCKH36,ZZ20240417CCUBLR3294,3,800,0,1033
110,YFWB74,ZZ20240406CCUHYD3723,1,1300,0,1485
111,YFWB74,ZZ20240416HYDDEL2294,1,800,1,4409
112,YFWB74,ZZ20240419DELBLR3152,1,800,1,1245
113,IDKP89,ZZ20240417CCUBLR3294,2,800,0,1033
114,IVMW62,ZZ20240417CCUBLR3294,4,800,0,1033
115,QQHE41,ZZ20240423CCUBOM3274,1,800,1,2521
116,QQHE41,ZZ20240424BOMBLR3556,1,800,1,2057
117,TOTV90,ZZ20240423CCUBOM3274,3,800,0,2521
118,TOTV90,ZZ20240502BOMHYD2933,3,800,0,1889
119,TOTV90,ZZ20240507HYDBLR2887,3,800,0,1621
120,KSMX61,ZZ20240417CCUBLR3294,3,800,0,1033
121,AMQB16,ZZ20240417CCUBLR3294,1,800,1,1033
122,YNIO33,ZZ20240423CCUBOM3274,3,800,0,2521
123,YNIO33,ZZ20240424BOMBLR3556,3,800,0,2057
124,HEAC23,ZZ20240406CCUHYD3723,1,800,1,1485
125,HEAC23,ZZ20240416HYDDEL2294,1,800,1,4409
126,HEAC23,ZZ20240419DELBLR3152,1,800,1,1245
127,GSNF55,ZZ20240406CCUHYD3723,2,1300,0,1485
128,GSNF55,ZZ20240409HYDCJB2880,2,800,0,6129
129,GSNF55,ZZ20240505CJBHYD2679,2,1300,0,7173
130,IFAV65,ZZ20240406CCUHYD3723,2,800,0,1485
131,IFAV65,ZZ20240507HYDBLR2887,2,800,0,1621
132,GGAN78,ZZ20240406CCUHYD3723,2,1300,0,1485
133,GGAN78,ZZ20240507HYDBLR2887,2,800,0,1621
134,QGEY16,ZZ20240406CCUHYD3723,1,800,1,1485
135,QGEY16,ZZ20240414HYDCCU3772,1,800,1,3673
136,QGEY16,ZZ20240417CCUBLR3294,1,800,1,1033
137,RIPG36,ZZ20240406CCUHYD3723,2,800,0,1485
138,RIPG36,ZZ20240414HYDCCU3772,2,1300,0,3673
139,RIPG36,ZZ20240417CCUBLR3294,2,800,0,1033
140,ZGKM38,ZZ20240406CCUHYD3723,1,800,1,1485
141,ZGKM38,ZZ20240507HYDBLR2887,1,1300,0,1621
142,ULUB62,ZZ20240423CCUBOM3274,7,600,0,2522
143,ULUB62,ZZ20240424BOMBLR3556,7,1100,0,2058
144,VNQB23,ZZ20240417CCUBLR3294,6,600,0,1034
145,HEZE51,ZZ20240417CCUBLR3294,2,600,0,1034
146,YIFV78,ZZ20240417CCUBLR3294,6,1100,0,1034
147,PLBA60,ZZ20240513CCUMAA4688,5,1100,0,2838
148,PLBA60,ZZ20240514MAATRV2008,5,1100,0,5134
149,KQGN35,ZZ20240406CCUHYD3723,1,600,1,1486
150,KQGN35,ZZ20240407HYDAMD3723,1,600,1,106
151,KQGN35,ZZ20240412AMDBLR3041,1,1100,0,4730
152,MOSR40,ZZ20240417CCUBLR3294,3,1100,0,1034
153,DGYQ98,ZZ20240417CCUBLR3294,4,1100,0,1034
154,KGRP58,ZZ20240417CCUBLR3294,8,600,0,1034
155,BCNL96,ZZ20240423CCUBOM3274,4,600,0,2522
156,BCNL96,ZZ20240424BOMDEL2019,4,600,0,3162
157,BCNL96,ZZ20240426DELBLR3152,4,600,0,1262
158,EKEH36,ZZ20240406CCUHYD3723,4,1100,0,1486
159,EKEH36,ZZ20240507HYDBLR2887,4,1100,0,1622
160,RXZR18,ZZ20240513CCUMAA4688,7,600,0,2838
161,RXZR18,ZZ20240516MAAHYD3027,7,600,0,1582
162,UPIA63,ZZ20240406CCUHYD3723,9,600,0,1486
163,UPIA63,ZZ20240407HYDAMD3723,9,1100,0,106
164,UPIA63,ZZ20240412AMDBLR3041,9,600,0,4730
165,IACJ88,ZZ20240423CCUBOM3274,1,1100,0,2522
166,IACJ88,ZZ20240424BOMBLR3556,1,600,1,2058
167,ALFX16,ZZ20240423CCUBOM3274,1,1100,0,2522
168,ALFX16,ZZ20240506BOMPNQ2977,1,600,1,5210
169,ALFX16,ZZ20240508PNQBOM3772,1,1100,0,6578
170,GINH77,ZZ20240406CCUHYD3723,1,500,1,1487
171,GINH77,ZZ20240414HYDCCU3772,1,500,1,3675
172,GINH77,ZZ20240417CCUBLR3294,1,1000,0,1035
173,ZVRJ34,ZZ20240417CCUBLR3294,7,500,0,1035
174,XLXS10,ZZ20240417CCUBLR3294,9,1000,0,1035
175,UZLE88,ZZ20240417CCUBLR3294,9,500,0,1035
176,MCRL39,ZZ20240417CCUBLR3294,5,500,0,1035
177,CILY58,ZZ20240406CCUHYD3723,3,500,0,1487
178,CILY58,ZZ20240407HYDAMD3723,3,500,0,107
179,CILY58,ZZ20240412AMDBLR3041,3,1000,0,4731
180,TTQZ53,ZZ20240417CCUBLR3294,4,500,0,1035
181,LWKR14,ZZ20240423CCUBOM3274,8,500,0,2523
182,LWKR14,ZZ20240506BOMPNQ2977,8,500,0,5211
183,LWKR14,ZZ20240508PNQBOM3772,8,500,0,6579
184,IBHN38,ZZ20240406CCUHYD3723,6,1000,0,1487
185,IBHN38,ZZ20240507HYDBLR2887,6,500,0,1623
186,HLGI89,ZZ20240417CCUBLR3294,2,1000,0,1035
187,NAUK86,ZZ20240423CCUBOM3274,3,1000,0,2523
188,NAUK86,ZZ20240505BOMCCU3779,3,500,0,4287
189,NAUK86,ZZ20240506CCUBLR3294,3,500,0,1087
190,SVPX92,ZZ20240406CCUHYD3723,3,1000,0,1487
191,SVPX92,ZZ20240507HYDBLR2887,3,500,0,1623
192,RTTS90,ZZ20240406CCUHYD3723,4,500,0,1487
193,RTTS90,ZZ20240507HYDBLR2887,4,1000,0,1623
194,WJIM84,ZZ20240406CCUHYD3723,6,500,0,1487
195,WJIM84,ZZ20240407HYDAMD3723,6,1000,0,107
196,WJIM84,ZZ20240412AMDBLR3041,6,500,0,4731
197,GYKM90,ZZ20240417CCUBLR3294,4,500,0,1035
198,OQHS47,ZZ20240406CCUHYD3723,1,500,1,1487
199,OQHS47,ZZ20240409HYDCJB2880,1,1000,0,6131
200,OQHS47,ZZ20240505CJBHYD2679,1,500,1,7175
201,JMZZ69,ZZ20240513CCUMAA4688,1,500,1,2839
202,JMZZ69,ZZ20240514MAATRV2008,1,500,1,5135
203,PLQI60,ZZ20240404BLRCCU2504,4,7450,0,484
204,VTQS78,ZZ20240404BLRCCU2504,4,6200,0,484
205,PUXO33,ZZ20240404BLRCCU2504,3,6650,0,484
206,DCZY85,ZZ20240404BLRCCU2504,4,8700,0,484
207,PCQS95,ZZ20240404BLRCCU2504,3,7850,0,484
208,INNN96,ZZ20240404BLRCCU2504,2,3600,0,484
209,LSQU16,ZZ20240404BLRCCU2504,3,6600,0,484
210,YIXJ75,ZZ20240404BLRCCU2504,2,4350,0,484
211,EPHG85,ZZ20240404BLRCCU2504,1,2050,0,484
212,JZSM40,ZZ20240404BLRCCU2504,2,4350,0,484
213,UOPP64,ZZ20240404BLRCCU2504,1,1550,0,484
214,CHVC56,ZZ20240404BLRCCU2504,3,8450,0,485
215,RNQT34,ZZ20240404BLRCCU2504,4,7000,0,485
216,WIXP22,ZZ20240404BLRCCU2504,2,6100,0,485
217,YRJB20,ZZ20240404BLRCCU2504,4,5500,0,485
218,SIDZ36,ZZ20240404BLRCCU2504,3,7950,0,485
219,LUDE98,ZZ20240404BLRCCU2504,3,5450,0,485
220,IUIK82,ZZ20240404BLRCCU2504,2,5400,0,485
221,BVQV52,ZZ20240404BLRCCU2504,4,2500,0,485
222,YPXG10,ZZ20240404BLRCCU2504,1,3350,0,485
223,XSEQ22,ZZ20240404BLRCCU2504,3,6950,0,485
224,AWZN31,ZZ20240404BLRCCU2504,3,4700,0,485
225,WFBU17,ZZ20240404BLRCCU2504,4,8500,0,485
226,JDZX23,ZZ20240404BLRCCU2504,2,1400,0,485
227,EZNF68,ZZ20240404BLRCCU2504,2,5150,0,485
228,NIOU39,ZZ20240404BLRCCU2504,4,6000,0,485
229,LLBV34,ZZ20240404BLRCCU2504,3,7200,0,485
230,BUSG55,ZZ20240404BLRCCU2504,4,4000,0,485
231,AETX31,ZZ20240404BLRCCU2504,3,6700,0,485
232,MWIB94,ZZ20240404BLRCCU2504,4,10150,0,485
233,GABY97,ZZ20240404BLRCCU2504,1,3350,0,485
234,JCLI11,ZZ20240404BLRCCU2504,1,3600,0,485
235,JAHD98,ZZ20240404BLRCCU2504,1,3600,0,485
236,GIJX61,ZZ20240404BLRCCU2504,5,11350,0,486
237,FFFR68,ZZ20240404BLRCCU2504,4,5500,0,486
238,FXZG59,ZZ20240404BLRCCU2504,2,6950,0,486
239,OKCK18,ZZ20240404BLRCCU2504,1,1150,0,486
240,APOD67,ZZ20240404BLRCCU2504,8,13750,0,486
241,MKUL48,ZZ20240404BLRCCU2504,1,1650,0,486
242,NZDN62,ZZ20240404BLRCCU2504,6,13900,0,486
243,HGNG43,ZZ20240404BLRCCU2504,8,17750,0,486
244,NDXS60,ZZ20240404BLRCCU2504,6,6650,0,486
245,JGUZ10,ZZ20240404BLRCCU2504,4,7700,0,486
246,PWHY98,ZZ20240404BLRCCU2504,2,4950,0,486
247,CKCW68,ZZ20240404BLRCCU2504,9,16300,0,486
248,IIHT79,ZZ20240404BLRCCU2504,3,3750,0,486
249,AMDZ29,ZZ20240404BLRCCU2504,3,7500,0,486
250,MNVX43,ZZ20240404BLRCCU2504,3,8250,0,486
251,CQRK74,ZZ20240404BLRCCU2504,3,8500,0,486
252,BDXN81,ZZ20240404BLRCCU2504,6,8800,0,486
253,QMSP67,ZZ20240404BLRCCU2504,5,9600,0,486
254,COHD37,ZZ20240404BLRCCU2504,4,8550,0,486
255,QSZC10,ZZ20240404BLRCCU2504,6,12150,0,486
256,UCVL26,ZZ20240404BLRCCU2504,2,4600,0,487
257,YCVW27,ZZ20240404BLRCCU2504,6,6800,0,487
258,TUZH52,ZZ20240404BLRCCU2504,4,6200,0,487
259,TLAN18,ZZ20240404BLRCCU2504,3,3150,0,487
260,RJQB91,ZZ20240404BLRCCU2504,7,11800,0,487
261,DQWV46,ZZ20240404BLRCCU2504,3,7150,0,487
262,CIUA69,ZZ20240404BLRCCU2504,6,9800,0,487
263,TBBL26,ZZ20240404BLRCCU2504,7,12800,0,487
264,DZST81,ZZ20240404BLRCCU2504,7,12350,0,487
265,GJYC76,ZZ20240404BLRCCU2504,6,7550,0,487
266,ALJR67,ZZ20240404BLRCCU2504,4,11700,0,487
267,PMAF58,ZZ20240404BLRCCU2504,4,6650,0,487
268,SJOQ59,ZZ20240404BLRCCU2504,2,2600,0,487
269,JFIP71,ZZ20240404BLRCCU2504,8,7400,0,487
270,BIHV22,ZZ20240404BLRCCU2504,1,3050,0,487
271,LANE58,ZZ20240404BLRCCU2504,4,5700,0,487
272,TGQN66,ZZ20240404BLRCCU2504,8,10600,0,487
273,VXXC26,ZZ20240404BLRCCU2504,7,13350,0,487
274,URIQ45,ZZ20240404BLRCCU2504,9,9400,0,487
275,KTWX91,ZZ20240404BLRCCU2504,4,7450,0,487
276,KJEQ13,ZZ20240404BLRCCU2504,1,3050,0,487
277,CBUF90,ZZ20240404BLRCCU2504,9,13400,0,487
278,FCRU51,ZZ20240404BLRCCU2504,7,11600,0,487
279,CGYW26,ZZ20240404BLRCCU2504,3,6900,0,487
280,MZQC26,ZZ20240404BLRCCU2504,2,2350,0,487
281,WZDZ67,ZZ20240404BLRCCU2504,2,1600,0,487
282,PLQI60,ZZ20240406CCUHYD3723,4,1000,0,1484
283,PLQI60,ZZ20240507HYDBLR2887,4,1000,0,1620
284,VTQS78,ZZ20240406CCUHYD3723,4,1000,0,1484
285,PUXO33,ZZ20240423CCUBOM3274,3,1500,0,2520
286,PUXO33,ZZ20240424BOMBLR3556,3,1000,0,2056
287,PCQS95,ZZ20240406CCUHYD3723,3,1000,0,1484
288,PCQS95,ZZ20240407HYDAMD3723,3,1000,0,104
289,PCQS95,ZZ20240412AMDBLR3041,3,1000,0,4728
290,EPHG85,ZZ20240417CCUBLR3294,1,1500,0,1032
291,CHVC56,ZZ20240513CCUMAA4688,3,800,0,2837
292,CHVC56,ZZ20240514MAABOM3117,3,800,0,637
293,SIDZ36,ZZ20240513CCUMAA4688,3,800,0,2837
