UID,KEY,DEP,ARR,CLASS,CAPACITY,DEP_TIME,ARR_TIME
0,ZZ20240505AMDHYD2223,AMD,HYD,FC,42,1714906320,1714937400
1,ZZ20240505AMDHYD2223,AMD,HYD,BC,85,1714906320,1714937400
2,ZZ20240505AMDHYD2223,AMD,HYD,PC,127,1714906320,1714937400
3,ZZ20240505AMDHYD2223,AMD,HYD,EC,170,1714906320,1714937400
4,ZZ20240506AMDHYD2223,AMD,HYD,FC,42,1714992720,1715023800
5,ZZ20240506AMDHYD2223,AMD,HYD,BC,85,1714992720,1715023800
6,ZZ20240506AMDHYD2223,AMD,HYD,PC,127,1714992720,1715023800
7,ZZ20240506AMDHYD2223,AMD,HYD,EC,170,1714992720,1715023800
8,ZZ20240507AMDHYD2223,AMD,HYD,FC,42,1715079120,1715110200
9,ZZ20240507AMDHYD2223,AMD,HYD,BC,85,1715079120,1715110200
10,ZZ20240507AMDHYD2223,AMD,HYD,PC,127,1715079120,1715110200
11,ZZ20240507AMDHYD2223,AMD,HYD,EC,170,1715079120,1715110200
12,ZZ20240508AMDHYD2223,AMD,HYD,FC,42,1715165520,1715196600
13,ZZ20240508AMDHYD2223,AMD,HYD,BC,85,1715165520,1715196600
14,ZZ20240508AMDHYD2223,AMD,HYD,PC,127,1715165520,1715196600
15,ZZ20240508AMDHYD2223,AMD,HYD,EC,170,1715165520,1715196600
16,ZZ20240512AMDHYD2223,AMD,HYD,FC,42,1715511120,1715542200
17,ZZ20240512AMDHYD2223,AMD,HYD,BC,85,1715511120,1715542200
18,ZZ20240512AMDHYD2223,AMD,HYD,PC,127,1715511120,1715542200
19,ZZ20240512AMDHYD2223,AMD,HYD,EC,170,1715511120,1715542200
20,ZZ20240513AMDHYD2223,AMD,HYD,FC,42,1715597520,1715628600
21,ZZ20240513AMDHYD2223,AMD,HYD,BC,85,1715597520,1715628600
22,ZZ20240513AMDHYD2223,AMD,HYD,PC,127,1715597520,1715628600
23,ZZ20240513AMDHYD2223,AMD,HYD,EC,170,1715597520,1715628600
24,ZZ20240514AMDHYD2223,AMD,HYD,FC,42,1715683920,1715715000
25,ZZ20240514AMDHYD2223,AMD,HYD,BC,85,1715683920,1715715000
26,ZZ20240514AMDHYD2223,AMD,HYD,PC,127,1715683920,1715715000
27,ZZ20240514AMDHYD2223,AMD,HYD,EC,170,1715683920,1715715000
28,ZZ20240515AMDHYD2223,AMD,HYD,FC,42,1715770320,1715801400
29,ZZ20240515AMDHYD2223,AMD,HYD,BC,85,1715770320,1715801400
30,ZZ20240515AMDHYD2223,AMD,HYD,PC,127,1715770320,1715801400
31,ZZ20240515AMDHYD2223,AMD,HYD,EC,170,1715770320,1715801400
32,ZZ20240519AMDHYD2223,AMD,HYD,FC,42,1716115920,1716147000
33,ZZ20240519AMDHYD2223,AMD,HYD,BC,85,1716115920,1716147000
34,ZZ20240519AMDHYD2223,AMD,HYD,PC,127,1716115920,1716147000
35,ZZ20240519AMDHYD2223,AMD,HYD,EC,170,1716115920,1716147000
36,ZZ20240520AMDHYD2223,AMD,HYD,FC,42,1716202320,1716233400
37,ZZ20240520AMDHYD2223,AMD,HYD,BC,85,1716202320,1716233400
38,ZZ20240520AMDHYD2223,AMD,HYD,PC,127,1716202320,1716233400
39,ZZ20240520AMDHYD2223,AMD,HYD,EC,170,1716202320,1716233400
40,ZZ20240521AMDHYD2223,AMD,HYD,FC,42,1716288720,1716319800
41,ZZ20240521AMDHYD2223,AMD,HYD,BC,85,1716288720,1716319800
42,ZZ20240521AMDHYD2223,AMD,HYD,PC,127,1716288720,1716319800
43,ZZ20240521AMDHYD2223,AMD,HYD,EC,170,1716288720,1716319800
44,ZZ20240522AMDHYD2223,AMD,HYD,FC,42,1716375120,1716406200
45,ZZ20240522AMDHYD2223,AMD,HYD,BC,85,1716375120,1716406200
46,ZZ20240522AMDHYD2223,AMD,HYD,PC,127,1716375120,1716406200
47,ZZ20240522AMDHYD2223,AMD,HYD,EC,170,1716375120,1716406200
48,ZZ20240526AMDHYD2223,AMD,HYD,FC,1,1716720720,1716751800
49,ZZ20240526AMDHYD2223,AMD,HYD,BC,85,1716720720,1716751800
50,ZZ20240526AMDHYD2223,AMD,HYD,PC,127,1716720720,1716751800
51,ZZ20240526AMDHYD2223,AMD,HYD,EC,170,1716720720,1716751800
52,ZZ20240527AMDHYD2223,AMD,HYD,FC,42,1716807120,1716838200
53,ZZ20240527AMDHYD2223,AMD,HYD,BC,85,1716807120,1716838200
54,ZZ20240527AMDHYD2223,AMD,HYD,PC,127,1716807120,1716838200
55,ZZ20240527AMDHYD2223,AMD,HYD,EC,170,1716807120,1716838200
56,ZZ20240528AMDHYD2223,AMD,HYD,FC,42,1716893520,1716924600
57,ZZ20240528AMDHYD2223,AMD,HYD,BC,85,1716893520,1716924600
58,ZZ20240528AMDHYD2223,AMD,HYD,PC,127,1716893520,1716924600
59,ZZ20240528AMDHYD2223,AMD,HYD,EC,170,1716893520,1716924600
60,ZZ20240529AMDHYD2223,AMD,HYD,FC,42,1716979920,1717011000
61,ZZ20240529AMDHYD2223,AMD,HYD,BC,85,1716979920,1717011000
62,ZZ20240529AMDHYD2223,AMD,HYD,PC,127,1716979920,1717011000
63,ZZ20240529AMDHYD2223,AMD,HYD,EC,170,1716979920,1717011000
64,ZZ20240602AMDHYD2223,AMD,HYD,FC,42,1717325520,1717356600
